School Name TDSB 		LC	LN	HEPA Filters	School.NameON	Board.Name	School Number	City	Street	Lat	Long	MM	match
Rene Gordon Health  & Wellness Academy	all mechanical	2	9	No	Rene Gordon Health and Wellness Academy	Toronto DSB	287504	Toronto	20 Karen Rd	43.7617736	-79.34060869	2	FALSE
Roywood Public School	partial mechanical	2	11	Yes	Roywood Public School	Toronto DSB	493554	Toronto	11 Roywood Dr	43.76484925	-79.3220058	2	TRUE
Sloane Public School	partial mechanical	2	9	Yes	Sloane Public School	Toronto DSB	517348	Toronto	110 Sloane Ave	43.731112	-79.31085318	2	TRUE
Three Valleys Public School	partial mechanical	2	9	Yes	Three Valleys Public School	Toronto DSB	553093	Toronto	76 Three Valleys Dr	43.7505847	-79.33817407	2	TRUE
Valley Park Middle School	all mechanical	2	10	No	Valley Park Middle School	Toronto DSB	569135	Toronto	130 Overlea Blvd	43.7019635	-79.3528813	2	TRUE
Victoria Park Collegiate Institute	partial mechanical	2	10	Yes	Victoria Park Collegiate Institute	Toronto DSB	949353	Toronto	15 Wallingford Rd	43.7558251	-79.32053452	2	TRUE
Victoria Village Public School	partial mechanical	2	9	Yes	Victoria Village Public School	Toronto DSB	576239	Toronto	88 Sweeney Dr	43.735846	-79.31415743	2	TRUE
Bruce Public School	all mechanical	4	23	No	Bruce Public School	Toronto DSB	67547	Toronto	51 Larchmount Ave	43.6610246	-79.33319621	2	TRUE
Chester Elementary School	partial mechanical	4	24	Yes	Chester Elementary School	Toronto DSB	106151	Toronto	115 Gowan Ave	43.68746625	-79.351414	2	TRUE
City Adult Learning Centre	partial mechanical	4	22	Yes	City Adult Learning Centre	Toronto DSB	991457	Toronto	1 Danforth Ave	43.6743823	-79.35988864	2	TRUE
Cosburn Middle School	all mechanical	4	24	No	Cosburn Middle School	Toronto DSB	125130	Toronto	520 Cosburn Ave	43.6940192	-79.33118358	2	TRUE
Diefenbaker  Elementary School	all mechanical	4	24	No	Diefenbaker Elementary School	Toronto DSB	448052	Toronto	175 Plains Rd	43.6948416	-79.33155216	2	FALSE
Earl Grey Senior Public School	all mechanical	4	23	No	Earl Grey Senior Public School	Toronto DSB	157899	Toronto	100 Strathcona Ave	43.6772535	-79.34034934	2	TRUE
Eastdale Collegiate Institute	all mechanical	4	22	No	Eastdale Collegiate Institute	Toronto DSB	907103	Toronto	701 Gerrard St E	43.6658042	-79.3487782	2	TRUE
Pape Avenue Junior Public Scho	all mechanical	4	23	No	Pape Avenue Junior Public School	Toronto DSB	432849	Toronto	220 Langley Ave	43.67053125	-79.34233558	2	FALSE
Riverdale Collegiate Institute	all mechanical	4	23	No	Riverdale Collegiate Institute	Toronto DSB	939080	Toronto	1094 Gerrard St E	43.66996435	-79.33452914	2	TRUE
Westwood Middle School	all mechanical	4	24	No	Westwood Middle School	Toronto DSB	603406	Toronto	994 Carlaw Ave	43.6865019	-79.35143187	2	TRUE
William J. Mccordic School*	all mechanical	4	24	No	William J McCordic School	Toronto DSB	679054	Toronto	45 Balfour Ave	43.69034005	-79.29895179	2	FALSE
Adam Beck Junior Public School	all mechanical	4	23	No	Adam Beck Junior Public School	Toronto DSB	2151	Toronto	400 Scarborough Rd	43.68336665	-79.28897153	2	TRUE
Earl Haig Public School	partial mechanical	4	23	Yes	Earl Haig Public School	Toronto DSB	158020	Toronto	15 Earl Haig Ave	43.6811535	-79.32132706	2	TRUE
East York Collegiate Institute	all mechanical	4	24	No	East York Collegiate Institute	Toronto DSB	906840	Toronto	650 Cosburn Ave	43.69561905	-79.32666999	2	TRUE
Gordon A. Brown Middle School	all mechanical	4	24	No	Gordon A Brown Middle School	Toronto DSB	529567	Toronto	2800 St Clair Ave E	43.70779905	-79.30562408	2	FALSE
Kew Beach Junior Public School	all mechanical	4	23	No	Kew Beach Junior Public School	Toronto DSB	291277	Toronto	101 Kippendavie Ave	43.6685526	-79.30277805	2	TRUE
Kimberley Junior Public School	all mechanical	4	23	No	Kimberley Junior Public School	Toronto DSB	291927	Toronto	50 Swanwick Ave	43.6828723	-79.29895593	2	TRUE
Malvern Collegiate Institute	all mechanical	4	23	No	Malvern Collegiate Institute	Toronto DSB	924520	Toronto	55 Malvern Ave	43.6826436	-79.29295869	2	TRUE
Norway Junior Public School	all mechanical	4	23	No	Norway Junior Public School	Toronto DSB	411914	Toronto	390 Kingston Road	43.6760941	-79.30659193	2	TRUE
O'Connor Public School	all mechanical	4	24	No	O'Connor Public School	Toronto DSB	413305	Toronto	1665 O'Connor Dr	43.71642555	-79.30412047	2	TRUE
Parkside Elementary School	all mechanical	4	24	No	Parkside Elementary School	Toronto DSB	435180	Toronto	401 Cedarvale Ave	43.6993307	-79.31623654	2	TRUE
Secord Elementary School	all mechanical	4	24	No	Secord Elementary School	Toronto DSB	504998	Toronto	101 Barrington Ave	43.6920201	-79.30118896	2	TRUE
Buchanan Public School	partial mechanical	3	18	Yes	Buchanan Public School	Toronto DSB	68713	Toronto	4 Bucannan Rd	43.7523742	-79.30025666	2	TRUE
Dorset Park Public School	no mechanical	3	17	Yes	Dorset Park Public School	Toronto DSB	142816	Toronto	28 Blaisdale Rd	43.7500423	-79.27961475	2	TRUE
Edgewood  Public School	no mechanical	3	13	Yes	Edgewood Public School	Toronto DSB	165824	Toronto	230 Birkdale Rd	43.76672315	-79.26655022	2	FALSE
General Crerar Public School	no mechanical	3	17	Yes	General Crerar Public School	Toronto DSB	211320	Toronto	30 McGregor Rd	43.74559565	-79.27951451	2	TRUE
George Peck Public School	no mechanical	3	18	Yes	George Peck Public School	Toronto DSB	212881	Toronto	1 Wayne Ave	43.7385341	-79.29353034	2	TRUE
lonview Public School	No Mechanical	3	17	Yes	Ionview Public School	Toronto DSB	277754	Toronto	90 Ionview Rd	43.7378772	-79.27476663	2	FALSE
lonview Public School	No Mechanical	3	17	Yes	Yorkview Public School	Toronto DSB	624594	Toronto	130 Yorkview Dr	43.7724081	-79.4363063	2	FALSE
John McCrae Public School	all mechanical	3	13	No	John McCrae Public School	Toronto DSB	284203	Toronto	431 McCowan Rd	43.74352615	-79.23985222	2	TRUE
Knob Hill Public School	no mechanical	3	13	Yes	Knob Hill Public School	Toronto DSB	302589	Toronto	25 Seminole Ave	43.74529815	-79.24974704	2	TRUE
Maryvale Public School	partial mechanical	3	18	Yes	Maryvale Public School	Toronto DSB	346527	Toronto	1325 Pharmacy Ave	43.7547459	-79.30807705	2	TRUE
Wexford Collegiate  School for the Arts	all mechanical	3	18	No	Wexford Collegiate School for the Arts	Toronto DSB	952990	Toronto	1176 Pharmacy Ave	43.74579815	-79.3070974	2	FALSE
Wexford Public School	no mechanical	3	18	Yes	Wexford Public School	Toronto DSB	603929	Toronto	1050 Pharmacy Ave	43.7402551	-79.30464767	2	TRUE
Anson Park Public School	no mechanical	3	17	Yes	Anson Park Public School	Toronto DSB	19704	Toronto	30 MacDuff Cres	43.72734495	-79.24099545	2	TRUE
Birch Cliff Public School	no mechanical	3	18	Yes	Birch Cliff Public School	Toronto DSB	49344	Toronto	1650 Kingston Rd	43.69163885	-79.26611016	2	TRUE
Blantyre  Public School	all mechanical	3	18	No	Blantyre Public School	Toronto DSB	53244	Toronto	290 Blantyre Ave	43.6849489	-79.28409222	2	FALSE
Chine Drive Public School	no mechanical	3	17	Yes	Chine Drive Public School	Toronto DSB	106410	Toronto	51 Chine Dr	43.70954825	-79.24145457	2	TRUE
Clairlea Public School	no mechanical	3	18	Yes	Clairlea Public School	Toronto DSB	107972	Toronto	25 Rosalind Cres	43.7164321	-79.29645762	2	TRUE
Courcelette Public School	no mechanical	3	18	Yes	Courcelette Public School	Toronto DSB	125520	Toronto	100 Fallingbrook Rd	43.6791039	-79.27852306	2	TRUE
Danforth Gardens Public School	partial mechanical	3	18	Yes	Danforth Gardens Public School	Toronto DSB	133582	Toronto	20 Santamonica Blvd	43.7081915	-79.27090013	2	TRUE
Fairmount  Public School	no mechanical	3	17	Yes	Fairmount Public School	Toronto DSB	191957	Toronto	31 Sloley Rd	43.7194685	-79.23066168	2	FALSE
General Brock Public School	no mechanical	3	17	Yes	General Brock Public School	Toronto DSB	211060	Toronto	140 Chestnut Cres	43.71907815	-79.27511544	2	TRUE
J.G. Workman Public School	no mechanical	3	3	Yes	J G Workman Public School	Toronto DSB	279706	Toronto	487 Birchmount Rd	43.70749945	-79.26646346	2	FALSE
John A. Leslie Public School	no mechanical	3	17	Yes	John A Leslie Public School	Toronto DSB	283088	Toronto	459 Midland Ave	43.7144409	-79.24874415	2	FALSE
Oakridge Junior Public School	all mechanical	3	18	No	Oakridge Junior Public School	Toronto DSB	414387	Toronto	110 Byng Ave	43.6951558	-79.2816482	2	TRUE
R.H. King Academy	partial mechanical	3	17	Yes	R H King Academy	Toronto DSB	937266	Toronto	3800 St Clair Ave E	43.72349815	-79.2374134	2	FALSE
Bellmere Junior Public School	all mechanical	3	13	No	Bellmere Junior Public School	Toronto DSB	41416	Toronto	470 Brimorton Dr	43.77170565	-79.23527131	2	TRUE
Bendale Junior Public School	no mechanical	3	13	Yes	Bendale Junior Public School	Toronto DSB	43494	Toronto	61 Benshire Dr	43.7623853	-79.24470376	2	TRUE
Cedarbrae Collegiate Institute	all mechanical	3	15	No	Cedarbrae Collegiate Institute	Toronto DSB	899178	Toronto	550 Markham Rd	43.75646655	-79.22669244	2	TRUE
Cedarbrook  Public School	all mechanical	3	15	No	Cedarbrook Public School	Toronto DSB	89770	Toronto	56 Nelson St	43.7473883	-79.22988975	2	FALSE
Eastview Public School	all mechanical	3	16	No	Eastview Public School	Toronto DSB	164399	Toronto	20 Waldock St	43.759006	-79.19121261	2	TRUE
Galloway Road Public School	no mechanical	3	15	Yes	Galloway Road Public School	Toronto DSB	207942	Toronto	192 Galloway Rd	43.76500465	-79.19654004	2	TRUE
George B. Little Public School	no mechanical	3	13	Yes	George B Little Public School	Toronto DSB	211974	Toronto	125 Orton Park Rd	43.77104335	-79.20713876	2	FALSE
Highcastle Public School	all mechanical	3	15	No	Highcastle Public School	Toronto DSB	255467	Toronto	370 Military Trail	43.7867401	-79.21229208	2	TRUE
Maplewood High School*	all mechanical	3	16	No	Maplewood High School	Toronto DSB	924695	Toronto	120 Galloway Rd	43.75950165	-79.19464882	2	FALSE
Military Trail Public School	all mechanical	3	15	No	Military Trail Public School	Toronto DSB	364690	Toronto	701 Military Trail	43.78959475	-79.197306	2	TRUE
St. Margaret's Public School	all mechanical	3	15	No	St Margaret's Public School	Toronto DSB	531022	Toronto	235 Galloway Rd	43.7684325	-79.19532526	2	FALSE
Tecumseh Senior Public School	all mechanical	3	15	No	Tecumseh Senior Public School	Toronto DSB	550647	Toronto	720 Scarborough Golf Club Rd	43.76270165	-79.21703123	2	TRUE
Tredway Woodsworth  Public School	partial mechanical	3	13	Yes	Tredway Woodsworth Public School	Toronto DSB	607827	Toronto	112 Sedgemount Dr	43.76475625	-79.2359987	2	FALSE
West Hill Collegiate Institute	all mechanical	3	15	No	West Hill Collegiate Institute	Toronto DSB	951560	Toronto	350 Morningside Ave	43.7756229	-79.1908943	2	TRUE
Woburn Collegiate Institute	all mechanical	3	13	No	Woburn Collegiate Institute	Toronto DSB	954160	Toronto	2222 Ellesmere Rd	43.77888075	-79.2286428	2	TRUE
Woburn Junior Public School	all mechanical	3	13	No	Woburn Junior Public School	Toronto DSB	616532	Toronto	40 Dormington Dr	43.77948585	-79.22691939	2	TRUE
Agincourt Junior Public School	partial mechanical	2	10	Yes	Agincourt Junior Public School	Toronto DSB	4499	Toronto	29 Lockie Ave	43.7882757	-79.28070683	2	TRUE
David Lewis Public School	all mechanical	2	10	No	David Lewis Public School	Toronto DSB	134848	Toronto	130 Fundy Bay Blvd	43.80913885	-79.31780027	2	TRUE
Kennedy Public School	all mechanical	2	10	No	Kennedy Public School	Toronto DSB	536482	Toronto	20 Elmfield Cres	43.81846175	-79.30859756	2	TRUE
Lynngate Junior Public School	partial mechanical	2	10	Yes	Lynngate Junior Public School	Toronto DSB	326372	Toronto	129 Cass Ave	43.7763045	-79.30057973	2	TRUE
Silver Springs Public School	all mechanical	2	9	No	Silver Springs Public School	Toronto DSB	514314	Toronto	222 Silver Springs Blvd	43.8042379	-79.3024871	2	TRUE
Sir William Osler High School*	partial mechanical	2	10	Yes	Sir William Osler High School	Toronto DSB	942367	Toronto	1050 Huntingwood Dr	43.79735415	-79.287213	2	FALSE
Terry Fox Public School	all mechanical	2	10	No	Terry Fox Public School	Toronto DSB	536393	Toronto	185 Wintermute Blvd	43.8159633	-79.31862946	2	TRUE
Alexmuir Junior Public School	all mechanical	3	14	No	Alexmuir Junior Public School	Toronto DSB	11088	Toronto	95 Alexmuir Blvd	43.80915715	-79.28545213	2	TRUE
Banting & Best Public School	all mechanical	3	14	No	Banting and Best Public School	Toronto DSB	31887	Toronto	380 Goldhawk Trail	43.82675645	-79.27996158	2	FALSE
Macklin Public School	all mechanical	3	14	No	Macklin Public School	Toronto DSB	364703	Toronto	136 Ingleton Blvd	43.8219268	-79.26748518	2	TRUE
Malvern Junior Public School	all mechanical	3	14	No	Malvern Junior Public School	Toronto DSB	331635	Toronto	70 Mammoth Hall Trail	43.79806965	-79.2334544	2	TRUE
Milliken Public School	all mechanical	3	14	No	Milliken Public School	Toronto DSB	365793	Toronto	130 Port Royal Trail	43.81681325	-79.2886414	2	TRUE
Alvin Curling Public School	all mechanical	3	15	No	Alvin Curling Public School	Toronto DSB	287801	Toronto	50 Upper Rouge Trail	43.8083403	-79.19070641	2	TRUE
Chief Dan George Public School	all mechanical	3	15	No	Chief Dan George Public School	Toronto DSB	493104	Toronto	185 Generation Blvd	43.8026292	-79.16438531	2	TRUE
Emily Carr Public School	all mechanical	3	15	No	Emily Carr Public School	Toronto DSB	329134	Toronto	90 John Tabor Trail	43.8050074	-79.2061293	2	TRUE
Fleming Public School	all mechanical	3	14	No	Fleming Public School	Toronto DSB	198781	Toronto	20 Littles Rd	43.8155134	-79.20409113	2	TRUE
Heritage Park Public School	all mechanical	3	14	No	Heritage Park Public School	Toronto DSB	253405	Toronto	80 Old Finch Avenue	43.82129555	-79.20762536	2	TRUE
Highland Cree k Public School	partial mechanical	3	15	Yes	Highland Creek Public School	Toronto DSB	255785	Toronto	1410 Military Trail	43.7833	-79.178448	2	FALSE
Mary Shadd Public School	all mechanical	3	14	No	Mary Shadd Public School	Toronto DSB	348511	Toronto	135 Hupfield Trail	43.8142837	-79.21840798	2	TRUE
Meadowvale Public School	partial mechanical	3	15	Yes	Meadowvale Public School	Toronto DSB	356662	Toronto	761 Meadowvale Rd	43.79539125	-79.16409426	2	TRUE
Morrish Public School	all mechanical	3	15	No	Morrish Public School	Toronto DSB	373559	Toronto	61 Canmore Blvd	43.79325235	-79.17923167	2	TRUE
Rouge Valley Public School	all mechanical	3	16	No	Rouge Valley Public School	Toronto DSB	493120	Toronto	30 Durnford Rd	43.7993016	-79.1516227	2	TRUE
Thomas L Wells Public School	all mechanical	3	14	No	Thomas L Wells Public School	Toronto DSB	422237	Toronto	69 Nightstar Road	43.8242319	-79.22623729	2	TRUE
West Hill Public School	all mechanical	3	15	No	West Hill Public School	Toronto DSB	596256	Toronto	299 Morningside Ave	43.772803	-79.18601756	2	TRUE
